DateTime,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Date
1974-02-15T13:33:49Z,36.5,-100.693,24,4.5,mb,NA,NA,NA,NA,us,usp00005ac,2017-04-13T21:48:01Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,us,1974-02-15
1974-12-16T02:30:21Z,35.33,-97.48,10,2.6,ml,NA,NA,NA,NA,us,usp000094v,2014-11-06T23:21:27Z,"Oklahoma City urban area, Oklahoma",earthquake,NA,NA,NA,NA,reviewed,m,tul,1974-12-16
1975-09-13T01:25:02Z,34.139,-97.369,5,3.4,lg,NA,NA,NA,NA,us,usp0000csk,2014-11-06T23:21:31Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1975-09-13
1975-10-12T02:58:11Z,34.816,-97.406,20,3.2,lg,NA,NA,NA,NA,us,usp0000d4a,2014-11-06T23:21:32Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1975-10-12
1975-11-29T14:29:40Z,34.521,-97.347,5,3.5,lg,NA,NA,NA,NA,us,usp0000dsb,2014-11-06T23:21:32Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,slm,1975-11-29
1976-03-30T09:27:01Z,36.615,-102.083,5,2.7,lg,NA,NA,NA,NA,us,usp0000fq3,2014-11-06T23:21:34Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1976-03-30
1976-04-16T18:59:44Z,36.107,-99.875,5,3.4,NA,NA,NA,NA,NA,us,usp0000fwz,2014-11-06T23:21:34Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1976-04-16
1976-04-19T04:42:42Z,36.134,-99.841,5,3.5,NA,NA,NA,NA,NA,us,usp0000fya,2014-11-06T23:21:34Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1976-04-19
1979-06-07T07:39:35Z,35.187,-99.812,5,3,NA,NA,NA,NA,NA,us,usp0001150,2014-11-06T23:22:02Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,d,tul,1979-06-07
1979-09-13T00:49:19Z,35.219,-99.518,5,3.4,NA,NA,NA,NA,NA,us,usp00012xa,2014-11-06T23:22:05Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1979-09-13
1980-02-21T20:42:00Z,35.281,-101.076,5,2.9,NA,NA,NA,NA,NA,us,usp00015kr,2014-11-06T23:24:18Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,tul,1980-02-21
1980-06-09T22:37:09Z,35.513,-101.082,5,3.4,NA,NA,NA,NA,NA,us,usp000182u,2014-11-06T23:24:23Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,tul,1980-06-09
1980-11-02T10:00:49Z,35.472,-97.777,8,3,NA,NA,NA,NA,NA,us,usp0001amx,2014-11-06T23:24:27Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,g,tul,1980-11-02
1981-07-11T21:09:22Z,34.884,-97.677,5,3.5,mblg,NA,NA,NA,NA,us,usp0001emz,2014-11-07T00:29:46Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1981-07-11
1982-05-03T07:54:50Z,34.07,-96.38,5,3,mblg,NA,NA,NA,NA,us,usp0001m33,2014-11-07T00:31:15Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1982-05-03
1982-10-14T12:52:46Z,36.102,-102.571,5,3.9,mblg,NA,NA,NA,0.8,us,usp0001q7y,2014-11-07T00:32:02Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,oth,1982-10-14
1983-03-11T16:50:45Z,36.791,-100.196,5,2.7,mblg,NA,NA,NA,1.2,us,usp0001tjg,2014-11-07T00:32:48Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1983-03-11
1983-04-03T04:55:21Z,35.448,-102.321,5,3.4,mblg,NA,NA,NA,1.4,us,usp0001u4v,2014-11-07T00:32:55Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,tul,1983-04-03
1984-01-06T17:14:49Z,36.16,-95.58,5,2.6,md,NA,NA,NA,NA,us,usp000212k,2014-11-07T00:34:21Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1984-01-06
1984-02-03T04:38:27Z,34.657,-97.394,5,3.2,mblg,NA,NA,NA,0.7,us,usp00021rg,2014-11-07T00:34:27Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,us,1984-02-03
1984-03-03T11:42:02Z,35.51,-96.3,5,2.6,mblg,NA,NA,NA,NA,us,usp00022dx,2014-11-07T00:34:35Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1984-03-03
1984-05-21T13:31:13Z,35.067,-102.228,5,3.1,mblg,NA,NA,NA,1,us,usp00024hq,2014-11-07T00:34:55Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,tul,1984-05-21
1984-11-20T10:57:32Z,34.711,-97.414,5,2.9,mblg,NA,NA,NA,NA,us,usp000297w,2014-11-07T00:35:43Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1984-11-20
1985-09-23T01:03:43Z,34.629,-95.164,5,2.9,mblg,NA,NA,NA,1.1,us,usp0002k0v,2014-11-07T00:37:12Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1985-09-23
1985-11-07T08:35:33Z,34.224,-97.788,5,2,mblg,NA,NA,NA,0.6,us,usp0002mhe,2014-11-07T00:37:26Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1985-11-07
1985-12-31T18:27:25Z,34.76,-97.484,5,2.7,mblg,NA,NA,NA,0.8,us,usp0002pn1,2014-11-07T00:37:41Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1985-12-31
1986-02-14T06:09:04Z,34.868,-95.373,5,1.8,mblg,NA,NA,NA,0.7,us,usp0002qzq,2014-11-07T00:37:55Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1986-02-14
1986-02-24T23:52:22Z,34.692,-97.479,5,2.3,mblg,NA,NA,NA,0.9,us,usp0002r9y,2014-11-07T00:37:56Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1986-02-24
1986-03-03T11:45:17Z,35.308,-102.514,5,3.1,mblg,NA,NA,NA,1.2,us,usp0002rg7,2014-11-07T00:38:00Z,Texas Panhandle region,earthquake,NA,NA,NA,NA,reviewed,us,tul,1986-03-03
1986-04-05T14:54:51Z,34.405,-96.806,5,1.6,mblg,NA,NA,NA,0.6,us,usp0002spk,2014-11-07T00:38:11Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,us,tul,1986-04-05
1986-04-29T23:57:18Z,35.165,-96.003,5,1.7,md,NA,NA,NA,NA,us,usp0002tbx,2014-11-07T00:38:16Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-04-29
1986-04-30T03:36:10Z,34.931,-97.36,5,2.2,md,NA,NA,NA,NA,us,usp0002tc4,2014-11-07T00:38:16Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-04-30
1986-05-25T10:27:44Z,36.23,-94.877,5,2.2,md,NA,NA,NA,NA,us,usp0002udk,2014-11-07T00:38:25Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-05-25
1986-06-01T19:52:38Z,35.656,-96.897,5,2,md,NA,NA,NA,NA,us,usp0002up3,2014-11-07T00:38:28Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-06-01
1986-06-02T07:08:11Z,34.652,-96.651,5,1.3,md,NA,NA,NA,NA,us,usp0002upr,2014-11-07T00:38:29Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-06-02
1986-06-10T07:48:01Z,34.056,-95.592,5,1.5,mblg,NA,NA,NA,NA,us,usp0002uxy,2014-11-07T00:38:32Z,Oklahoma,earthquake,NA,NA,NA,NA,reviewed,tul,tul,1986-06-10
