time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-01T03:13:20.800Z,36.2873,-98.2198,6.292,2.7,ml,,82,,0.53,us,us10004ap1,2016-03-28T22:09:31.040Z,"20km NNE of Okeene, Oklahoma",earthquake,2.5,7.4,,,reviewed,tul,tul
2016-01-01T03:29:31.800Z,35.8976,-97.2462,6.862,2.5,ml,,58,,0.64,us,us10004ap5,2016-03-28T22:09:31.040Z,"5km S of Langston, Oklahoma",earthquake,2,7.7,,,reviewed,tul,tul
2016-01-01T06:57:19.500Z,35.6721,-97.4084,5.779,2.5,ml,,34,,0.62,us,us10004apm,2016-03-28T22:09:31.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.8,3,,,reviewed,tul,tul
2016-01-01T08:55:21.100Z,36.4265,-98.4933,3.937,2.5,ml,,165,,0.37,us,us10004aps,2016-03-28T22:09:31.040Z,"17km N of Fairview, Oklahoma",earthquake,4,7.9,,,reviewed,tul,tul
2016-01-01T09:15:27.500Z,35.6661,-97.4027,6.088,2.5,ml,,53,,0.65,us,us10004apy,2016-03-28T22:09:31.040Z,"6km ENE of Edmond, Oklahoma",earthquake,1.3,3.9,,,reviewed,tul,tul
2016-01-01T11:25:04.500Z,36.8042,-97.8514,5.454,3,ml,,66,,0.65,us,us10004aqc,2016-03-28T22:09:32.040Z,"10km W of Medford, Oklahoma",earthquake,1.9,5.1,,,reviewed,tul,tul
2016-01-01T11:39:39.800Z,35.6688,-97.4065,5.825,4.2,mwr,,49,,0.81,us,us10004aqg,2017-08-02T05:44:28.847Z,"6km ENE of Edmond, Oklahoma",earthquake,1.8,4.6,0.03,104,reviewed,tul,us
2016-01-01T20:28:07.600Z,35.8209,-97.4362,5.632,3.4,ml,,68,,0.59,us,us10004ark,2016-03-28T22:09:32.040Z,"6km S of Guthrie, Oklahoma",earthquake,1.5,6.9,,,reviewed,tul,tul
2016-01-01T22:08:04.700Z,35.6661,-97.3992,6.696,3,ml,,53,,0.6,us,us10004as5,2016-03-28T22:09:32.040Z,"7km ENE of Edmond, Oklahoma",earthquake,2.2,5.9,,,reviewed,tul,tul
2016-01-01T22:40:26.600Z,35.9533,-97.3969,6.886,3.1,ml,,65,,0.29,us,us10004as8,2016-03-28T22:09:32.040Z,"8km NNE of Guthrie, Oklahoma",earthquake,1.3,4.5,,,reviewed,tul,tul
